,VRM,VYM,VBM,IZM,INM
0,-0.12172035777226799,-0.888294404500878,-0.3496858604782499,0.20559261198898002,-0.02700738476922365
1,-0.13030219848469002,-0.8840080333505143,-0.3697779811370982,0.2345532506872306,-0.02573900135226125
2,-0.14354437653763258,-0.9517679279740732,-0.407261668602799,0.25886748159535244,-0.03807376131043617
3,-0.16705445230830746,-1.0084302315371012,-0.4669979198089447,0.24276756779791916,-0.03749014257853512
4,-0.17681084958622653,-0.9727887618347613,-0.45565559363056257,0.1695109286012476,-0.027847598278176688
5,-0.17211262332423832,-0.9277525060494323,-0.40926007845327583,0.18218697910659082,-0.022958145856968055
6,-0.17393129155468537,-0.9360903786980851,-0.4123927209215909,0.21471922061331072,-0.03360293465632047
7,-0.16529261746006188,-0.9313929856565906,-0.401590505513608,0.17888130742760416,-0.04220264443309781
8,-0.15483527513499135,-0.9140126314030608,-0.3885738359469885,0.2103682918559406,-0.036208649680658775
9,-0.16678922985803393,-0.9411987936307105,-0.423735047099973,0.22540448113544298,-0.0450562877157249
10,-0.1831004105498559,-0.9754897628336207,-0.465539620728867,0.20467662698742842,-0.04297089292548561
11,-0.18357402206820148,-0.9484210354320083,-0.4707246841246988,0.24246839527725111,-0.01476027732360304
12,-0.16580411789987512,-0.9003901915827265,-0.414229097540948,0.23566868403589422,-0.010334099696533157
13,-0.15206938386785313,-0.8768445089622351,-0.3563292229541594,0.1927577415035291,-0.0291808160317093
14,-0.18005035237171033,-0.9312168334175345,-0.4369137498977122,0.17854520002784127,-0.03233806172797101
15,-0.19800970114737493,-0.9996813369973175,-0.5102607925179163,0.20728053596361343,-0.0268693786856275
16,-0.16930884313563244,-0.9414923806958039,-0.43318698558195806,0.22045151384882725,-0.029499776833025522
17,-0.15845366713515163,-0.8670974184011339,-0.3966754975029757,0.21795471602201721,-0.022096485456645346
18,-0.1902993056287088,-0.9191797637487047,-0.47115677274101814,0.2428229701165614,-0.016034420135946043
19,-0.2064589306346602,-0.9741392623341909,-0.5019970977308095,0.24911298002640975,-0.02921328805137898
20,-0.18268363241371177,-0.9286919846577312,-0.46645780903854556,0.2764743384598545,-0.023246993248151413
21,-0.16841845348114273,-0.8793106403090197,-0.45543954932240294,0.320766645470366,-0.01209301904576916
22,-0.184483356183425,-0.8971020164536804,-0.49033070509018784,0.3145394248549789,-0.019205543232505777
23,-0.197251922718022,-0.9130731527947619,-0.5078843051281602,0.29379310326741687,-0.020453028271944278
24,-0.18556319044525293,-0.8927569278902979,-0.4821750324571607,0.2741326671252427,-0.01911262498703206
25,-0.18660513578561325,-0.8821877935469351,-0.497838244798736,0.26966354675476917,-0.01602652153656693
26,-0.20221537143028373,-0.9038545189508288,-0.5531455876876087,0.28398319937983196,-0.011564361401214427
27,-0.19363353071786174,-0.8837144462854208,-0.5604370830879972,0.2882048560603702,-0.018729926876837166
28,-0.17108962244461184,-0.818538117834684,-0.5252758719350127,0.3112152857364448,-0.014720071258707976
29,-0.1540017188627031,-0.7874766063478013,-0.4962719235645785,0.29749028466480865,-0.0012881190548359913
30,-0.16002605737605896,-0.8031541556237893,-0.5174982768412649,0.2540179319702022,-0.01203240826581139
31,-0.1752763482667868,-0.8079102660783026,-0.5426134276648253,0.26620644207149374,-0.02034129600156059
32,-0.16811534210940157,-0.770742143637477,-0.5066420503562421,0.31162526289439735,-0.01022582306337783
33,-0.1516336612709752,-0.7149018838567105,-0.46213692287535235,0.2986943617232999,1.4820734410024587e-05
34,-0.15409644116637222,-0.705389662947684,-0.4571679037876802,0.2209131998375125,-0.010961215576403902
35,-0.14852676971062814,-0.7242379525266809,-0.45209086254592823,0.18199491773529772,-0.011755024814004658
36,-0.1311925881391797,-0.6662251484642232,-0.43810199359259033,0.23204906588460159,0.008467473949135978
37,-0.13073792108156795,-0.634341593195079,-0.45230690685408786,0.26687496338311,0.01113550014635394
38,-0.13071897662083412,-0.6513696429704967,-0.4911948823228265,0.24545642699602227,0.00916803583295555
39,-0.11990168954182094,-0.6082710618147842,-0.474397437363413,0.2636394679744036,0.004649214217334833
40,-0.1134795173530548,-0.5801454209788356,-0.4476079431516153,0.2810727309071599,0.00863104077794509
41,-0.12041318998163418,-0.5868392060629654,-0.4695364404298207,0.2576560175610422,0.01564384514752042
42,-0.12905186407625766,-0.6063921045981864,-0.5047516626598451,0.30036751174629533,0.01284450473562472
43,-0.12994225373074736,-0.6193099354622964,-0.5257619716283719,0.3114590559384706,0.014591576185792054
44,-0.1268353621704003,-0.5887768806925818,-0.512421235599513,0.313989095156466,0.019854676238740345
45,-0.13903559488298262,-0.6141428031166525,-0.5467722805968988,0.36045686654566256,0.025011584011147243
46,-0.1623183371248516,-0.6960535942777136,-0.6273568075404515,0.36567207147385156,0.0249439522539636
47,-0.15830211144928102,-0.7061529893169269,-0.6297873060072476,0.3797738083122549,0.016439738737735108
48,-0.11741996518569008,-0.6164914996373997,-0.5592488393931191,0.35006339156837946,0.02183930903551139
49,-0.09207227672383432,-0.5472636696883738,-0.5253298830120526,0.3505989473152544,0.023691091778836534
50,-0.1135552951959901,-0.6139666508775964,-0.5876046548390743,0.41696723156074145,0.02533921133122666
51,-0.1250356384006871,-0.6660489962251672,-0.6362686352520375,0.40988312175035446,0.04343369577831154
52,-0.11529818558350186,-0.6460263583857967,-0.6067245761112041,0.33711402295773457,0.032115880490197285
